w,Real,Imag
1500,2.010652304,-0.00360693
1502,2.020921363,-0.001822111
1504,2.018937949,-0.001821442
1506,2.018495805,0.001395966
1508,2.03559916,0.005318647
1510,2.050113511,0.001839444
1512,2.060454751,0.005314586
1514,2.065597738,0.005703254
1516,2.073237351,0.001748148
1518,2.076936,0.001850602
1520,2.07292195,0.005312197
1522,2.076180083,0.005304826
1524,2.093775567,0.005331287
1526,2.101956669,0.001848693
1528,2.10603257,0.00531812
1530,2.102645158,0.009410206
1532,2.097410249,0.005317129
1534,2.101877366,0.008763588
1536,2.110199432,0.007792146
1538,2.106080254,0.006167682
1540,2.108926685,0.005289631
1542,2.118275435,0.008862669
1544,2.118643232,0.008990558
1546,2.127199279,0.012068672
1548,2.126753838,0.015495754
1550,2.131136627,0.009051463
1552,2.135167582,0.008888539
1554,2.135167985,0.00882386
1556,2.135139011,0.016410092
1558,2.13749933,0.008890666
1560,2.142568655,0.005318841
1562,2.14707217,0.005325223
1564,2.151794714,0.008890172
1566,2.151769474,0.008888468
1568,2.147713542,0.008887976
1570,2.147185068,0.008881256
1572,2.155770063,0.008916228
1574,2.156153764,0.001392825
1576,2.159525738,0.007774474
1578,2.163111882,0.008888451
1580,2.164410307,0.008543008
1582,2.167502348,0.008890146
1584,2.172522111,0.008895219
1586,2.172522693,0.008893889
1588,2.172522774,0.008889985
1590,2.169257972,0.008887338
1592,2.172532677,0.012335945
1594,2.173633607,0.008954902
1596,2.176541261,0.012459102
1598,2.17999903,0.016412062
1600,2.183559528,0.016024721
1602,2.186775373,0.016021466
1604,2.190838188,0.016020976
1606,2.192594206,0.016022423
1608,2.197417454,0.016024979
1610,2.19742583,0.016027817
1612,2.197425823,0.016082945
1614,2.197509669,0.012456615
1616,2.201466612,0.016030257
1618,2.205546743,0.016028729
1620,2.214016271,0.016137239
1622,2.215049263,0.023496966
1624,2.2171863,0.023161793
1626,2.219540896,0.023165097
1628,2.22159533,0.023168902
1630,2.222324695,0.023168923
1632,2.222328969,0.023168923
1634,2.22231055,0.023168963
1636,2.226506192,0.023738035
1638,2.222435044,0.030310425
1640,2.222552437,0.03030915
1642,2.222441433,0.030315939
1644,2.226511332,0.033089383
1646,2.226532468,0.030285201
1648,2.232302295,0.033881152
1650,2.239004213,0.03388514
1652,2.229811618,0.038494691
1654,2.231943896,0.041308074
1656,2.247501941,0.030279367
1658,2.255546799,0.033537081
1660,2.257131984,0.030387552
1662,2.261723446,0.030357462
1664,2.267202381,0.030309009
1666,2.272788835,0.030311321
1668,2.27770285,0.033865537
1670,2.280414455,0.030311403
