"Wavelength, µm",n,k
2.5,1.466,0.00004192
2.51,1.466,0.00004296
2.52,1.466,0.00004403
2.53,1.466,0.00004514
2.54,1.466,0.00004628
2.55,1.466,0.00004747
2.56,1.466,0.00004871
2.57,1.466,0.00004999
2.58,1.465,0.00005132
2.59,1.465,0.00005271
2.6,1.465,0.00005415
2.61,1.465,0.00005565
2.62,1.465,0.00005722
2.63,1.465,0.00005886
2.64,1.465,0.00006057
2.65,1.465,0.00006237
2.66,1.465,0.00006426
2.67,1.465,0.00006624
2.68,1.465,0.00006833
2.69,1.465,0.00007054
2.7,1.465,0.00007288
2.71,1.465,0.00007537
2.72,1.465,0.00007803
2.73,1.464,0.00008088
2.74,1.464,0.00008395
2.75,1.464,0.00008729
2.76,1.464,0.00009095
2.77,1.464,0.00009499
2.78,1.464,0.00009952
2.79,1.464,0.0001047
2.8,1.464,0.0001106
2.81,1.464,0.0001178
2.82,1.464,0.0001265
2.83,1.464,0.0001377
2.84,1.463,0.0001529
2.85,1.463,0.0001751
2.86,1.463,0.0002107
2.87,1.463,0.0002763
2.88,1.463,0.0004203
2.89,1.463,0.0007653
2.9,1.463,0.001324
2.91,1.463,0.001481
2.92,1.464,0.0009966
2.93,1.464,0.0005585
2.94,1.463,0.0003645
2.95,1.463,0.0002869
2.96,1.463,0.000253
2.97,1.463,0.000238
2.98,1.463,0.0002324
2.99,1.462,0.0002324
3,1.462,0.0002361
3.01,1.462,0.0002424
3.02,1.462,0.0002508
3.03,1.462,0.0002611
3.04,1.461,0.0002731
3.05,1.461,0.0002868
3.06,1.461,0.0003024
3.07,1.461,0.0003198
3.08,1.461,0.0003394
3.09,1.46,0.0003613
3.1,1.46,0.0003858
3.11,1.46,0.0004133
3.12,1.46,0.0004442
3.13,1.459,0.0004791
3.14,1.459,0.0005187
3.15,1.459,0.0005639
3.16,1.459,0.0006157
3.17,1.458,0.0006756
3.18,1.458,0.0007453
3.19,1.457,0.0008273
3.2,1.457,0.0009247
3.21,1.456,0.001042
3.22,1.456,0.001185
3.23,1.455,0.001363
3.24,1.454,0.001589
3.25,1.453,0.001886
3.26,1.452,0.002288
3.27,1.451,0.002862
3.28,1.449,0.003739
3.29,1.447,0.005203
3.3,1.444,0.00788
3.31,1.441,0.0128
3.32,1.442,0.02025
3.33,1.447,0.02722
3.34,1.456,0.02866
3.35,1.462,0.0241
3.36,1.461,0.0185
3.37,1.453,0.01847
3.38,1.449,0.033
3.39,1.468,0.04391
3.4,1.482,0.03046
3.41,1.48,0.02123
3.42,1.479,0.0193
3.43,1.48,0.01696
3.44,1.48,0.01385
3.45,1.48,0.01092
3.46,1.479,0.008559
3.47,1.478,0.006767
3.48,1.476,0.005433
3.49,1.475,0.004459
3.5,1.473,0.004053
3.51,1.472,0.005143
3.52,1.473,0.006319
3.53,1.475,0.004466
3.54,1.474,0.002436
3.55,1.473,0.001794
3.56,1.472,0.001568
3.57,1.471,0.001405
3.58,1.471,0.001268
3.59,1.47,0.001152
3.6,1.47,0.001053
3.61,1.469,0.0009676
3.62,1.469,0.0008934
3.63,1.469,0.0008285
3.64,1.468,0.0007716
3.65,1.468,0.0007213
3.66,1.468,0.0006767
3.67,1.467,0.000637
3.68,1.467,0.0006014
3.69,1.467,0.0005695
3.7,1.467,0.0005407
3.71,1.466,0.0005147
3.72,1.466,0.0004912
3.73,1.466,0.0004698
3.74,1.466,0.0004503
3.75,1.466,0.0004325
3.76,1.466,0.0004162
3.77,1.465,0.0004013
3.78,1.465,0.0003876
3.79,1.465,0.0003749
3.8,1.465,0.0003633
3.81,1.465,0.0003526
3.82,1.465,0.0003427
3.83,1.464,0.0003335
3.84,1.464,0.000325
3.85,1.464,0.0003172
3.86,1.464,0.0003099
3.87,1.464,0.0003031
3.88,1.464,0.0002969
3.89,1.464,0.0002911
3.9,1.463,0.0002856
3.91,1.463,0.0002806
3.92,1.463,0.000276
3.93,1.463,0.0002716
3.94,1.463,0.0002676
3.95,1.463,0.0002639
3.96,1.463,0.0002604
3.97,1.462,0.0002572
3.98,1.462,0.0002542
3.99,1.462,0.0002515
4,1.462,0.0002489
4.01,1.462,0.0002466
4.02,1.462,0.0002444
4.03,1.462,0.0002425
4.04,1.462,0.0002407
4.05,1.461,0.000239
4.06,1.461,0.0002375
4.07,1.461,0.0002362
4.08,1.461,0.000235
4.09,1.461,0.0002339
4.1,1.461,0.0002329
4.11,1.461,0.0002321
4.12,1.461,0.0002314
4.13,1.46,0.0002308
4.14,1.46,0.0002303
4.15,1.46,0.0002299
4.16,1.46,0.0002296
4.17,1.46,0.0002294
4.18,1.46,0.0002293
4.19,1.46,0.0002293
4.2,1.46,0.0002294
4.21,1.459,0.0002295
4.22,1.459,0.0002298
4.23,1.459,0.0002301
4.24,1.459,0.0002305
4.25,1.459,0.000231
4.26,1.459,0.0002315
4.27,1.459,0.0002321
4.28,1.459,0.0002328
4.29,1.458,0.0002336
4.3,1.458,0.0002344
4.31,1.458,0.0002353
4.32,1.458,0.0002363
4.33,1.458,0.0002374
4.34,1.458,0.0002385
4.35,1.458,0.0002396
4.36,1.458,0.0002409
4.37,1.457,0.0002422
4.38,1.457,0.0002436
4.39,1.457,0.000245
4.4,1.457,0.0002465
4.41,1.457,0.000248
4.42,1.457,0.0002497
4.43,1.457,0.0002514
4.44,1.456,0.0002531
4.45,1.456,0.0002549
4.46,1.456,0.0002568
4.47,1.456,0.0002588
4.48,1.456,0.0002608
4.49,1.456,0.0002628
4.5,1.455,0.000265
4.51,1.455,0.0002672
4.52,1.455,0.0002695
4.53,1.455,0.0002718
4.54,1.455,0.0002742
4.55,1.455,0.0002767
4.56,1.455,0.0002793
4.57,1.454,0.0002819
4.58,1.454,0.0002846
4.59,1.454,0.0002874
4.6,1.454,0.0002902
4.61,1.454,0.0002932
4.62,1.454,0.0002962
4.63,1.453,0.0002992
4.64,1.453,0.0003024
4.65,1.453,0.0003057
4.66,1.453,0.000309
4.67,1.453,0.0003124
4.68,1.452,0.0003159
4.69,1.452,0.0003195
4.7,1.452,0.0003232
4.71,1.452,0.000327
4.72,1.452,0.0003309
4.73,1.452,0.0003349
4.74,1.451,0.000339
4.75,1.451,0.0003432
4.76,1.451,0.0003475
4.77,1.451,0.0003519
4.78,1.45,0.0003564
4.79,1.45,0.0003611
4.8,1.45,0.0003659
4.81,1.45,0.0003708
4.82,1.45,0.0003758
4.83,1.449,0.000381
4.84,1.449,0.0003863
4.85,1.449,0.0003918
4.86,1.449,0.0003974
4.87,1.448,0.0004032
4.88,1.448,0.0004091
4.89,1.448,0.0004152
4.9,1.448,0.0004215
4.91,1.447,0.0004279
4.92,1.447,0.0004345
4.93,1.447,0.0004414
4.94,1.447,0.0004484
4.95,1.446,0.0004557
4.96,1.446,0.0004632
4.97,1.446,0.0004709
4.98,1.446,0.0004788
4.99,1.445,0.000487
5,1.445,0.0004955
5.01,1.445,0.0005043
5.02,1.444,0.0005133
5.03,1.444,0.0005226
5.04,1.444,0.0005323
5.05,1.443,0.0005423
5.06,1.443,0.0005527
5.07,1.443,0.0005634
5.08,1.442,0.0005745
5.09,1.442,0.000586
5.1,1.442,0.000598
5.11,1.441,0.0006104
5.12,1.441,0.0006233
5.13,1.44,0.0006368
5.14,1.44,0.0006507
5.15,1.44,0.0006653
5.16,1.439,0.0006805
5.17,1.439,0.0006963
5.18,1.438,0.0007128
5.19,1.438,0.0007301
5.2,1.437,0.0007481
5.21,1.437,0.0007671
5.22,1.436,0.0007869
5.23,1.436,0.0008077
5.24,1.435,0.0008295
5.25,1.435,0.0008524
5.26,1.434,0.0008766
5.27,1.433,0.0009021
5.28,1.433,0.0009289
5.29,1.432,0.0009573
5.3,1.432,0.0009874
5.31,1.431,0.001019
5.32,1.43,0.001053
5.33,1.429,0.001089
5.34,1.429,0.001127
5.35,1.428,0.001168
5.36,1.427,0.001211
5.37,1.426,0.001258
5.38,1.425,0.001308
5.39,1.424,0.001362
5.4,1.423,0.00142
5.41,1.422,0.001482
5.42,1.421,0.00155
5.43,1.42,0.001623
5.44,1.419,0.001703
5.45,1.418,0.001791
5.46,1.416,0.001886
5.47,1.415,0.001991
5.48,1.413,0.002107
5.49,1.412,0.002235
5.5,1.41,0.002377
5.51,1.408,0.002536
5.52,1.406,0.002713
5.53,1.404,0.002914
5.54,1.402,0.003141
5.55,1.399,0.0034
5.56,1.396,0.003696
5.57,1.393,0.00404
5.58,1.39,0.004439
